seed,timesteps,eval_return_mean,eval_return_std,rnd_prediction_error,policy_entropy,visited_states,auto_stop,stopped,method
1,10000,368.4,67.03610967232511,0.0001644819601806,0.5775792931765318,9917,False,False,Fixed budget
1,11000,409.8,111.46730462337376,0.0001563280818372,0.5794332454204559,10913,False,False,Fixed budget
1,12000,262.0,48.315628941368445,0.000180173814103,0.5989073343276977,11902,False,False,Fixed budget
1,13000,424.4,71.31507554507672,0.0001101366973298,0.6012539640516043,12901,False,False,Fixed budget
1,14000,479.4,41.2,0.0001156873427098,0.5825638196468353,13893,False,False,Fixed budget
1,15000,221.2,24.17767565337909,0.0001205061732125,0.5780759367570281,14891,False,False,Fixed budget
1,16000,255.2,13.24235628579748,9.8496333631374e-05,0.5773004422187805,15876,False,False,Fixed budget
1,17000,380.6,80.5694731272335,0.0001251603911896,0.5630865179672837,16872,False,False,Fixed budget
1,18000,500.0,0.0,9.615845803000413e-05,0.5661085912585259,17870,False,False,Fixed budget
1,19000,500.0,0.0,0.0001092265223173,0.5626062506139279,18858,False,False,Fixed budget
1,20000,424.0,56.55439859109104,0.0001232550492095,0.5539732194244862,19851,False,False,Fixed budget
1,21000,333.6,90.63023777967264,0.0001191632385407,0.5503174540549517,20842,False,False,Fixed budget
1,22000,261.4,62.96856358533201,7.041922444932424e-05,0.5535063990056515,21831,False,False,Fixed budget
1,23000,358.0,121.51872283726487,9.471360729821756e-05,0.5441041808575392,22809,False,False,Fixed budget
1,24000,271.2,104.24471209610589,6.38048451837676e-05,0.5424899162687361,23771,False,False,Fixed budget
1,25000,360.6,170.83512519385468,5.45912092168237e-05,0.53499311247468,24748,False,False,Fixed budget
1,26000,437.6,124.8,5.464723343857258e-05,0.54427599593997,25734,False,False,Fixed budget
1,27000,469.8,60.400000000000006,5.080831797977225e-05,0.553530399158597,26715,False,False,Fixed budget
1,28000,451.6,64.20467272714657,6.452689443676718e-05,0.5680736922472716,27706,False,False,Fixed budget
1,29000,165.2,9.987992791347018,9.204494710047585e-05,0.5418483877107501,28696,False,False,Fixed budget
